id,minDice,name,description,defeatedDescription,goal,tags,def,reward,queueReward,onStart,onSuccess,onFailure,image,icon,,,
3dc01,3,Wolf,A lone wolf stalks what you assume to be unseen prey.,The wolf howls and runs off in search of easier prey.,,beast critter ,2t 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,sca_fg_wolf,critter,,,
3dc02,3,Wolf Pack,A pack of wolves has your scent!,"Upon taking down the alpha, the rest of the pack scatters.",,beast critter series ,p 2c + p,,Gateway_Challenge_T1_Reward_Test_01,,,,sca_fg_wolf,critter,,,
3dc03,3,Rampaging Boar,"The beast snarls and lowers its head, a wild look in its eyes.","The boar lets out a snort before falling over, defeated.",,beast critter,p t 3c,,Gateway_Challenge_T1_Reward_Test_03,,,,,critter,,,
3dc04,3,Bear,"No soothing words can calm this beast, for it roars in rage and attacks heedless of all danger.",The wounded beast takes one last swipe before turning and limping away.,,beast critter series,p + t 2c,,Gateway_Challenge_T1_Reward_Test_04,,,,,critter,,,
3dc05,3,Panther,The elegant beast regards you quietly for a minute before stretching and preparing to pounce.,The panther thinks better of attacking and slinks back into the shadows.,,beast critter,p t 3c,,Gateway_Challenge_T1_Reward_Test_06,,,,,critter,,,
3dc06,3,Dire Wolf,Before you stands the embodiment of nature in its most raw and savage form.,The air goes still as the massive creature collapses to the ground.,,beast critter series ,m + m 2c,,Gateway_Challenge_T1_Reward_Test_01,,,,sca_fg_wolf,critter,,,
3dc07,3,Dire Boar,You don't have time to be afraid of the 2000 pound monster charging right at you!,"With a single deft stroke, the dire boar falls to the ground, tusks inches from your face.",,beast critter,p 4c,,Gateway_Challenge_T1_Reward_Test_01,,,,,critter,,,
3dc08,3,Stalking Panther,How can a beast that powerful and fearsome be so graceful and silent?,"With barely a second to spare, you're able to dodge the initial strike and launch a masterful counter attack.",,beast critter series,3c + p t,,Gateway_Challenge_T1_Reward_Test_03,,,,,critter,,,
3dc09,3,Dire Bear,This fearsome creature is large enough to devour an entire village if it so desired.,Stories will be told of the mighty hero that single-handedly defeated a dire bear.,,beast critter,7c,,Gateway_Challenge_T1_Reward_Test_04,,,,,critter,,,
3dc10,3,Dire Panther,A set of slivered yellow eyes are the last thing you see before the full force of the beast is upon you.,"The fight lasts far longer than you'd like, but eventually you're able to get the upper hand and land a mortal blow.",,beast critter series,3c + 4c,,Gateway_Challenge_T1_Reward_Test_06,,,,,critter,,,
